Date,Open,High,Low,Close,Adj Close,Volume
2015-08-27,1307.449951,1307.449951,1272.900024,1287.324951,1084.007080,5264798
2015-08-28,1304.500000,1304.500000,1278.849976,1285.425049,1082.407349,2744152
2015-08-31,1295.000000,1295.000000,1265.525024,1282.025024,1079.544067,3692044
2015-09-01,1278.000000,1305.599976,1265.000000,1268.699951,1068.323486,2987602
2015-09-02,1279.849976,1310.224976,1274.000000,1295.900024,1091.227905,3765950
2015-09-03,1298.050049,1307.500000,1288.125000,1302.800049,1097.037964,2265074
2015-09-04,1305.699951,1307.449951,1269.574951,1273.724976,1072.555420,2426396
2015-09-07,1276.500000,1279.974976,1266.349976,1269.875000,1069.313477,1759184
2015-09-08,1272.500000,1282.050049,1261.750000,1270.150024,1069.544800,1787746
2015-09-09,1281.474976,1287.000000,1272.000000,1274.875000,1073.523438,2045076
2015-09-10,1271.000000,1289.250000,1263.500000,1272.699951,1071.692139,2665818
2015-09-11,1273.250000,1284.199951,1270.300049,1276.000000,1074.470947,1592672
2015-09-14,1282.500000,1282.500000,1271.500000,1275.824951,1074.323364,1589318
2015-09-15,1275.824951,1279.449951,1268.000000,1268.625000,1068.260742,1379900
2015-09-16,1277.500000,1282.500000,1270.525024,1275.175049,1073.776367,1756816
2015-09-18,1282.500000,1293.000000,1269.500000,1275.625000,1074.155029,2455294
2015-09-21,1275.000000,1278.550049,1266.599976,1275.525024,1074.070801,1108840
2015-09-22,1278.750000,1286.199951,1245.000000,1263.400024,1063.860840,2081246
2015-09-23,1267.150024,1278.875000,1256.300049,1266.324951,1066.323975,1228352
2015-09-24,1267.750000,1295.000000,1264.949951,1290.199951,1086.427856,2354254
2015-09-28,1297.000000,1309.500000,1289.750000,1296.849976,1092.027710,2366812
2015-09-29,1291.675049,1317.000000,1284.925049,1294.125000,1089.733032,3325952
2015-09-30,1321.849976,1321.849976,1285.474976,1294.025024,1089.648804,3368336
2015-10-01,1299.500000,1324.974976,1296.099976,1322.300049,1113.458374,2834408
2015-10-05,1326.349976,1385.000000,1326.349976,1355.824951,1141.688477,4807306
2015-10-06,1362.500000,1363.000000,1342.000000,1350.000000,1136.783447,3979590
2015-10-07,1346.974976,1358.500000,1323.474976,1326.974976,1117.395142,2065530
2015-10-08,1335.000000,1339.175049,1310.000000,1316.900024,1108.911133,2357550
2015-10-09,1325.250000,1325.300049,1304.000000,1314.824951,1107.163818,2249724
2015-10-12,1327.500000,1330.175049,1293.500000,1296.300049,1091.564575,2455912
2015-10-13,1301.400024,1306.000000,1283.800049,1299.275024,1094.069824,6179712
2015-10-14,1274.000000,1274.000000,1240.000000,1241.849976,1045.714600,8337128
2015-10-15,1245.000000,1251.750000,1232.500000,1233.875000,1038.998779,3215710
2015-10-16,1240.449951,1246.000000,1235.000000,1236.000000,1040.787964,2333828
2015-10-19,1245.000000,1247.474976,1227.925049,1244.375000,1047.840820,3130642
2015-10-20,1248.125000,1265.000000,1247.800049,1263.375000,1063.839966,2695084
2015-10-21,1267.500000,1271.000000,1261.125000,1265.000000,1069.865479,1929688
2015-10-23,1274.000000,1274.000000,1263.650024,1268.574951,1075.226440,2335398
2015-10-26,1274.500000,1274.500000,1257.550049,1268.275024,1074.972656,1414630
2015-10-27,1265.025024,1272.449951,1260.175049,1265.550049,1072.662842,1530420
2015-10-28,1255.025024,1266.775024,1255.025024,1264.550049,1071.815430,1255342
2015-10-29,1266.775024,1267.699951,1245.025024,1247.675049,1057.512207,3130316
2015-10-30,1250.000000,1255.949951,1242.500000,1247.599976,1057.448486,1516696
2015-11-02,1250.000000,1261.400024,1243.775024,1258.675049,1066.835815,1319294
2015-11-03,1264.000000,1273.900024,1259.250000,1271.724976,1077.896484,1364906
2015-11-04,1272.500000,1273.599976,1260.000000,1266.900024,1073.806763,991434
2015-11-05,1265.400024,1267.474976,1240.000000,1241.324951,1052.130249,1596098
2015-11-06,1246.000000,1259.125000,1241.724976,1252.875000,1061.919312,908024
2015-11-09,1247.500000,1251.375000,1234.300049,1235.675049,1047.341309,2021556
2015-11-10,1236.474976,1238.500000,1225.000000,1229.074951,1041.746582,1361920
2015-11-13,1219.025024,1219.025024,1193.275024,1198.699951,1016.001526,2743232
2015-11-16,1195.000000,1195.000000,1178.000000,1187.300049,1006.338867,2043528
2015-11-17,1190.250000,1199.224976,1187.500000,1195.275024,1013.098755,1985028
2015-11-18,1194.449951,1194.449951,1173.000000,1175.724976,996.528442,1520352
2015-11-19,1182.675049,1190.800049,1176.000000,1181.275024,1001.232483,1866906
2015-11-20,1183.250000,1211.775024,1180.974976,1199.175049,1016.404419,2012126
2015-11-23,1202.650024,1206.699951,1191.125000,1195.525024,1013.310425,1088082
2015-11-24,1190.025024,1196.224976,1182.750000,1183.974976,1003.520996,998640
2015-11-26,1188.949951,1191.199951,1168.925049,1172.775024,994.027832,2915292
2015-11-27,1174.000000,1179.724976,1166.250000,1176.675049,997.333374,1737206
2015-11-30,1182.500000,1195.625000,1175.074951,1186.775024,1005.893799,4100048
2015-12-01,1181.449951,1189.025024,1178.525024,1180.949951,1000.956848,1721994
2015-12-02,1189.000000,1189.050049,1173.250000,1182.599976,1002.355347,1640296
2015-12-03,1180.000000,1186.500000,1173.500000,1175.375000,996.231628,2283358
2015-12-04,1170.000000,1173.650024,1160.550049,1164.199951,986.759888,1246092
2015-12-07,1166.099976,1171.949951,1157.625000,1159.900024,983.115295,1382604
2015-12-08,1159.699951,1174.500000,1158.650024,1164.500000,987.014038,1139964
2015-12-09,1168.949951,1186.400024,1160.000000,1183.824951,1003.393494,5282806
2015-12-10,1184.500000,1195.599976,1176.000000,1192.275024,1010.555786,1723988
2015-12-11,1191.500000,1195.974976,1181.625000,1193.000000,1011.170471,1652378
2015-12-14,1167.599976,1193.500000,1165.300049,1189.224976,1007.970520,2718532
2015-12-15,1189.224976,1192.500000,1181.525024,1187.925049,1006.869019,1135868
2015-12-16,1192.000000,1207.250000,1192.000000,1204.199951,1020.663208,1435934
2015-12-17,1207.500000,1222.500000,1196.675049,1219.875000,1033.949219,1618844
2015-12-18,1210.000000,1217.099976,1200.324951,1208.400024,1024.223267,3024970
2015-12-21,1209.974976,1225.000000,1203.425049,1223.199951,1036.767578,1610104
2015-12-22,1220.000000,1220.000000,1200.000000,1202.525024,1019.243896,1560858
2015-12-23,1207.500000,1217.500000,1205.275024,1212.900024,1028.037354,849834
2015-12-24,1210.500000,1219.099976,1202.000000,1217.125000,1031.618530,843160
2015-12-28,1214.000000,1233.199951,1210.099976,1231.349976,1043.675293,3704198
2015-12-29,1229.175049,1232.650024,1222.875000,1227.900024,1040.751099,1708524
2015-12-30,1226.525024,1229.500000,1206.150024,1209.150024,1024.858765,1605762
